price,amount,amount_0,amount_1,amount_1_adj
4035.9116934152644,158341.37563178156,0.0,49.082859774714315,158341.37563178156
4031.8780005856693,158420.5622946984,0.0,49.107406156583664,158420.5622946984
4027.848339231259,158499.78845306282,0.0,49.13196478130177,158499.78845306282
4023.822705322777,189196.41749964756,0.0,58.64734465619738,189196.41749964756
4019.801094834989,189577.04592894128,0.0,58.76533233785514,189577.04592894128
4015.783503746687,190906.0829067093,0.0,59.17730890023448,190906.0829067093
4011.7699280406828,211408.360906549,0.0,65.53263095117137,211408.360906549
4007.7603637038,211926.9560486524,0.0,65.69338572886701,211926.9560486524
4003.754806726876,215294.22864459205,0.0,66.73717714466277,215294.22864459205
3999.7532531047536,251672.94178856292,0.0,78.01389663068248,251672.94178856292
3995.7556988362785,251798.80342925354,0.0,78.05291138116311,251798.80342925354
